Address,district,beat,grid,crimedescr,ucr_ncic_code
JESSIE AVE / NORWOOD AVE,2,2A        ,233,ASSAULT WITH WEAPON - I RPT,7000
2800 K ST,3,3B        ,748,487(A) PC GRAND THEFT,2303
2730 J ST,3,3B        ,748,243(D) PC BATT/CIVILIAN W/INJ,1315
3211 RIVERSIDE BLVD,4,4A        ,934,459 PC  BURGLARY BUSINESS,2203
3560 4TH AVE,6,6A        ,1022,10851(A)VC TAKE VEH W/O OWNER,2404
1320 DEL PASO BLVD,2,2C        ,612,243(D) PC BATT/CIVILIAN W/INJ,1315
JEFFREY AVE / LEW WAY,4,4B        ,958,23152(A) VC DUI-ALCOHOL/DRUGS,5404
14 BUSINESS PARK WAY,6,6C        ,1407,245(A)(2) AWDW/FIREARM/CIVILIA,1315
4495 STOCKTON BLVD,6,6B        ,1064,242 PC  BATTERY CIVILIAN,1313
415 12TH ST,3,3A        ,715,CASUALTY REPORT,7000
33RD ST / H ST,3,3C        ,821,20002(A) HIT/RUN,5401
1940 MONARCH AVE,5,5A        ,1502,245(A)(1)AWDW/NO FIREARM/CIVIL,1315
N ST / 3RD ST,3,3A        ,752,459 PC  BURGLARY VEHICLE,2299
7457 RUSH RIVER DR,4,4C        ,1285,594(B)(2)(A) VANDALISM/ -$400,2999
16TH ST / C ST,3,3A        ,716,11377(A)HS POSS AMPHETAMINES,3572
6730 4TH AVE,6,6C        ,1111,647(F) PC DIP - DISORDERLY,5311
415 12TH ST,3,3A        ,715,245(A)(2) AWDW/FIREARM/CIVILIA,1315
4340 JEFFREY AVE,4,4B        ,958,20002(A) HIT/RUN,5401
2500 35TH ST,6,6A        ,1013,9.40.020(A) JUVENILE CURFEW,7399
7658 NIXOS WAY,5,5B        ,1612,459 PC  BURGLARY RESIDENCE,2204
3296 MARYSVILLE BLVD,2,2B        ,526,10851(A)VC TAKE VEH W/O OWNER,2404
6515 BENHAM WAY,4,4C        ,1252,594(B)(2)(A) VANDALISM/ -$400,2999
15 SEINE CT,3,3C        ,899,314.1 PC   INDECENT EXPOSURE,3605
838 RANCHO ROBLE WAY,1,1C        ,405,10851(A)VC TAKE VEH W/O OWNER,2404
FRUITRIDGE RD / 53RD ST,6,6B        ,1084,245(A)(2) AWDW/FIREARM/CIVILIA,1315
3RD ST / N ST,3,3A        ,752,459 PC  BURGLARY VEHICLE,2299
7946 POCKET RD,4,4C        ,1295,10851(A)VC TAKE VEH W/O OWNER,2404
5TH ST / BROADWAY,4,4A        ,909,5150 WI DANGER SELF/OTHERS,7000
1112 I ST,3,3M        ,734,12.52.030 SCC UNLAWFUL CAMPING,7399
2257 ANTON WAY,1,1A        ,115,5150 WI DANGER SELF/OTHERS,7000
3977 3RD AVE,6,6A        ,1014,11377(A)HS POSS AMPHETAMINES,3572
1112 I STREET,3,3M        ,734,3056 PC PAROLE VIOLATION,5011
902 DEL PASO BLVD,2,2C        ,612,CASUALTY REPORT,7000
2750 SUTTERVILLE RD,4,4B        ,958,BURGLARY - I RPT,7000
3150 NORDYKE DR,1,1C        ,418,5150 WI DANGER SELF/OTHERS,7000
32ND ST / 8TH AVE,6,6A        ,1031,11364 HS POSS DRUG PARAPH,3599
26 MASSIE CT,5,5C        ,1607,459 PC  BURGLARY VEHICLE,2299
W EL CAMINO AVE / AZEVEDO DR,1,1B        ,434,TOWED/STORED VEHICLE,7000
3611 TRUXEL RD,1,1A        ,337,10851(A)VC TAKE VEH W/O OWNER,2404
5081 MCGLASHAN ST,6,6B        ,1084,459 PC  BURGLARY RESIDENCE,2204
15TH ST / MATHEWS WAY,5,5A        ,1371,GANG ACTIVITY - I RPT,7000
4401 BROADWAY,6,6A        ,1015,484 PC PETTY THEFT,2399
8101 COSUMNES RIVER BLVD,5,5C        ,1639,484 PETTY THEFT-SHOPLIFT,2303
2319 33RD ST,6,6A        ,1001,243(E)1 BATTERY NONCOHAB SPOUS,1315
717 23RD ST,3,3B        ,727,MISSING PERSON,7000
3324 2ND AVE,6,6A        ,1011,LOST PROPERTY - I RPT,7000
200 RICHARDS BLVD,3,3A        ,704,TRAFFIC-ACCIDENT INJURY,5400
8517 DERLIN WAY,5,5C        ,1653,243(E)1 BATTERY NONCOHAB SPOUS,1315
25TH AVE / 62ND ST,6,6B        ,1088,TRAFFIC-ACCIDENT INJURY,5400
2355 STOCKTON BLVD,6,6B        ,1005,594(B)(2)(A) VANDALISM/ -$400,2999
3711 RIO LINDA BLVD,2,2A        ,513,CASUALTY REPORT,7000
POINT WEST WAY / ARDEN WAY,2,2C        ,618,459 PC  BURGLARY VEHICLE,2299
3309 BOZEMAN ST,2,2B        ,531,594(B)(2)(A) VANDALISM/ -$400,2999
621 24TH ST,3,3B        ,728,496(A) RECEIVE STOLEN PROPERTY,2803
W ST / RIVERSIDE BLVD,3,3A        ,784,TRAFFIC-ACCIDENT INJURY,5400
STOCKTON BLVD / MACK RD,5,5C        ,1607,484G(B) PC ACCESS CARD FRAUD,2605
15 CARTHAGE CT,6,6C        ,1443,MISSING PERSON,7000
BROADWAY / 21ST ST,4,4A        ,907,TRAFFIC-ACCIDENT-NON INJURY,5400
ARDEN WAY / CHALLENGE WAY,2,2C        ,620,459 PC  BURGLARY VEHICLE,2299
8158 GRANDSTAFF DR,5,5C        ,1637,10851 VC AUTO THEFT LOCATE,2404
5571 79TH ST,6,6C        ,1153,MISSING PERSON,7000
7595 FRANKLIN BLVD,5,5B        ,1603,484G(B) PC ACCESS CARD FRAUD,2605
11 ALCANON CT,1,1B        ,353,653M(A) PC OBSCENE/THREAT CALL,5309
5320 SUMMERBROOK WAY,5,5B        ,1621,211 PC  ROBBERY UNSPECIFIED,1299
1325 SENIDA WAY,1,1C        ,416,459 PC  BURGLARY RESIDENCE,2204
6145 STOCKTON BLVD,6,6B        ,1421,459 PC  BURGLARY BUSINESS,2203
4900 WAREHOUSE WAY,6,6C        ,1147,VANDALISM - I RPT,7000
RIVERSIDE BLVD / BROADWAY,4,4A        ,905,TRAFFIC-ACCIDENT-NON INJURY,5400
4380 FALLOW DR,5,5B        ,1616,459 PC  BURGLARY RESIDENCE,2204
RESEARCH DR / OPPORTUNITY ST,2,2A        ,510,10851(A)VC TAKE VEH W/O OWNER,2404
RESEARCH DR / OPPORTUNITY ST,2,2A        ,510,10851(A)VC TAKE VEH W/O OWNER,2404
1901 PEBBLEWOOD DR,1,1B        ,411,FOUND PROPERTY - I RPT,7000
3000 ACADEMY WAY,2,2B        ,556,TOWED/STORED VEHICLE,7000
HERMOSA ST / 45TH AVE,4,4B        ,1326,11378 HS POSS/SALE AMPHETAMINE,3571
3876 SEA FOREST WAY,5,5B        ,1618,10851(A)VC TAKE VEH W/O OWNER,2404
1420 O ST,3,3A        ,765,10851(A)VC TAKE VEH W/O OWNER,2404
4051 4TH AVE,6,6A        ,1015,CASUALTY REPORT,7000
1633 68TH AVE,5,5A        ,1371,245(A)(1)AWDW/NO FIREARM/CIVIL,1315
2900 R ST,3,3B        ,778,484 PC   PETTY THEFT/INSIDE,2308
3661 TRUXEL RD,1,1A        ,337,484 PC PETTY THEFT,2399
4932 WALLACE AVE,2,2A        ,213,243(E)1 BATTERY NONCOHAB SPOUS,1315
2104 11TH AVE,4,4A        ,936,211 PC  ROBBERY UNSPECIFIED,1299
FRUITRIDGE RD / 53RD ST,6,6B        ,1084,11364 HS POSS DRUG PARAPH,3599
2179 JOHN STILL DR,5,5A        ,1502,14601.1(A) VC LIC SUSP OTHER,5499
1500 ARDEN WAY,2,2C        ,626,10851(A)VC TAKE VEH W/O OWNER,2404
5666 DELCLIFF CIR,4,4C        ,1225,484 PC PETTY THEFT,2399
3645 FULTON AVE,2,2A        ,507,459 PC  BURGLARY VEHICLE,2299
1901 ARDEN WAY,2,2C        ,620,484 PC PETTY THEFT,2399
15TH ST / F ST,3,3A        ,725,211 PC  ROBBERY UNSPECIFIED,1299
BRUCEVILLE RD / COSUMNES RIVER BLVD,5,5C        ,1639,484 PC   PETTY THEFT/INSIDE,2308
2100 HARVARD ST,2,2C        ,605,459 PC  BURGLARY-UNSPECIFIED,2299
8900 KLOTZ RANCH CT,4,4C        ,1298,TOWED/STORED VEHICLE,7000
JOHN STILL DR / 22ND ST,5,5A        ,1503,TRAFFIC-ACCIDENT-NON INJURY,5400
16TH ST / J ST,3,3M        ,736,10851(A)VC TAKE VEH W/O OWNER,2404
182 WILSHIRE AVE,5,5B        ,1369,242 PC  BATTERY CIVILIAN,1313
7700 33RD AVE,6,6C        ,1405,246.3 PC NEGL DISCH FIREARM,5213
3554 SANTA CRUZ WAY,6,6A        ,1042,243(E)1 BATTERY NONCOHAB SPOUS,1315
3625 TAYLOR ST,2,2A        ,512,594(B)(1)PC  VANDALISM +$400,2999
161 BELL AVE,2,2A        ,222,11364 HS POSS DRUG PARAPH,3599
14 CLOVE CT,5,5C        ,1634,653M(B) PC ANNOY/RPT CALL HOME,5307
3633 MAY ST,2,2A        ,513,459 PC  BURGLARY RESIDENCE,2204
2228 GATEWAY OAKS DR,1,1B        ,440,459 PC  BURGLARY VEHICLE,2299
3354 ZALEMA WAY,1,1A        ,343,487(A) PC GRAND THEFT,2303
4713 36TH ST,6,6A        ,1071,484 PC  PETTY THEFT/ OUTSIDE,2309
2100 BROADWAY,4,4A        ,907,666 PC PETTY THEFT W/PRI CONV,2399
ALHAMBRA BLVD / GRANADA WAY,3,3C        ,841,23153(A) VC DUI CAUSE INJURY,5404
5869 61ST ST,6,6B        ,1402,THREATS - I RPT,7000
5868 BRIDGECROSS DR,1,1A        ,106,459 PC  BURGLARY VEHICLE,2299
1614 D ST,3,3B        ,716,23152(A) VC DUI-ALCOHOL/DRUGS,5404
7658 AMBROSE WAY,4,4C        ,1294,CASUALTY REPORT,7000
1900 BROADWAY,4,4A        ,906,666 PC PETTY THEFT W/PRI CONV,2399
BROOKFIELD DR / MEADOWVIEW RD,5,5B        ,1614,243.4(E)(1)TOUCH FOR SEX PLEAS,3699
11 QUINTA CT,5,5C        ,1624,10851(A)VC TAKE VEH W/O OWNER,2404
1401 3RD ST,3,3A        ,762,459 PC  BURGLARY VEHICLE,2299
FRANKLIN BLVD / CREEKS EDGE WAY,5,5B        ,1603,GANG ACTIVITY - I RPT,7000
J ST / 7TH ST,3,3M        ,732,459 PC  BURGLARY VEHICLE,2299
750 REGATTA DR,1,1C        ,428,487(A) GRAND THEFT-CLOUT-UNLOC,2305
4050 TAYLOR ST,2,2A        ,233,CASUALTY REPORT,7000
1091 G ST,3,3A        ,724,653M(A) PC OBSCENE/THREAT CALL,5309
SAN JUAN RD / TRUXEL RD,1,1B        ,404,TRAFFIC-ACCIDENT INJURY,5400
N MEADOWS PL / S MEADOWS PL,5,5A        ,1365,602(L)(1)TRESPASS REFUSE TO LV,5707
5630 YVONNE WAY,5,5B        ,1631,5150 WI DANGER SELF/OTHERS,7000
2178 JOHN STILL DR,5,5A        ,1512,10851(A)VC TAKE VEH W/O OWNER,2404
63 DECATHLON CIR,5,5B        ,1614,MISSING PERSON,7000
1001 OLIVERA WAY,2,2B        ,564,594(B)(2)(A) VANDALISM/ -$400,2999
FRUITRIDGE RD / FREEPORT BLVD,4,4B        ,976,20002(A) HIT/RUN,5401
6618 VILLA JUARES CIR,6,6C        ,1443,243(E)1 BATTERY NONCOHAB SPOUS,1315
232 OLMSTEAD DR,2,2B        ,531,20002(A) HIT/RUN,5401
4261 ARMADALE WAY,5,5B        ,1616,10851(A)VC TAKE VEH W/O OWNER,2404
1228 D ST,3,3A        ,715,10851(A)VC TAKE VEH W/O OWNER,2404
838 RANCHO ROBLE WAY,1,1C        ,405,10851(A)VC TAKE VEH W/O OWNER,2404
1081 GLENROSE AVE,2,2B        ,564,594(B)(1)PC  VANDALISM +$400,2999
6730 4TH AVE,6,6C        ,1111,594(B)(1)PC  VANDALISM +$400,2999
WEATHERFORD WAY / BRENTFORD CIR,5,5C        ,1635,11364 HS POSS DRUG PARAPH,3599
2164 BRADBURN DR,1,1A        ,104,ACCIDENTAL FIRES/ARSON -I RPT,7000
948 RIVERA DR,2,2B        ,523,MISSING PERSON,7000
7825 DETROIT BLVD,5,5A        ,1506,10851(A)VC TAKE VEH W/O OWNER,2404
819 POTOMAC AVE,1,1C        ,418,247(B) PC SHOOT UNOCC BLDG/VEH,5213
BRUCEVILLE RD / VALLEY HI DR,5,5C        ,1624,10851(A)VC TAKE VEH W/O OWNER,2404
STOCKTON BLVD / MASSIE CT,5,5C        ,1607,529 PC FALSE PERSONATION,2604
11 QUINTA CT,5,5C        ,1624,10851(A)VC TAKE VEH W/O OWNER,2404
7129 SNOWY BIRCH WAY,5,5C        ,1637,484 PC  PETTY THEFT/ OUTSIDE,2309
7001 CARNATION AVE,4,4B        ,1356,594(B)(2)(A) VANDALISM/ -$400,2999
10 NEDRA CT,5,5A        ,1394,10851(A)VC TAKE VEH W/O OWNER,2404
2400 DONNER WAY,4,4A        ,928,NON INJ HR/MAIL OUT REPORT,7000
MARYSVILLE BLVD / LOS ROBLES BLVD,2,2B        ,526,TOWED/STORED VEH-14602.6,7000
1430 BREWERTON DR,1,1B        ,435,211 PC  ROBBERY UNSPECIFIED,1299
320 COMMERCE CIR,2,2C        ,622,10851 VC AUTO THEFT LOCATE,2404
4967 49TH ST,6,6B        ,1084,10851(A)VC TAKE VEH W/O OWNER,2404
6641 VALLEY HI DR,5,5C        ,1623,10851(A)VC TAKE VEH W/O OWNER,2404
139 FAIRBANKS AVE,2,2B        ,531,CASUALTY REPORT,7000
549 MORRISON AVE,2,2A        ,502,TOWED/STORED VEH-14602.6,7000
STOCKTON BLVD / FRUITRIDGE RD,6,6B        ,1086,TOWED/STORED VEH-14602.6,7000
2648 33RD ST,6,6A        ,1012,23152(A) VC DUI-ALCOHOL/DRUGS,5404
HOWE AVE / US 50 WB,3,3C        ,898,TOWED/STORED VEHICLE,7000
WINTERHAVEN AVE / NORTHGATE BLVD,1,1C        ,419,TOWED/STORED VEH-14602.6,7000
LEMON HILL AVE / 40TH AVE,6,6C        ,1404,4140 BP  POSS OF HYPO NEEDLE,3599
BAMFORD DR / CENTER PKWY,5,5B        ,1623,TOWED/STORED VEH-14602.6,7000
1236 BREWERTON DR,1,1B        ,435,215(A) PC    CARJACKING,1212
2724 NORTHGLEN ST,1,1C        ,438,246 PC SHOOT OCCUP DWELL/VEH,5213
H ST / ALHAMBRA BLVD,3,3C        ,821,23222(B)POSSESS MARIJ IN VEH,5499
7715 COLLEGE TOWN DR,3,3C        ,888,459 PC  BURGLARY VEHICLE,2299
16TH ST / X ST,4,4A        ,906,TRAFFIC-ACCIDENT-NON INJURY,5400
6137 24TH ST,4,4B        ,1326,484J PC PUBLISH CARD INFO,2605
DIXIEANNE AVE / OAKMONT ST,2,2C        ,603,O/S AGENCY -ASSISTANCE- I RPT,7000
7352 MEADOWGATE DR,5,5B        ,1369,484G(B) PC ACCESS CARD FRAUD,2605
3510 HAPPY CIR,5,5B        ,1358,484J PC PUBLISH CARD INFO,2605
2109 V ST,3,3B        ,787,484 PC PETTY THEFT,2399
4650 NATOMAS BLVD,1,1A        ,145,FRAUD OR BUNCO - I RPT,7000
8667 SUNNYBRAE DR,5,5C        ,1653,484G(B) PC ACCESS CARD FRAUD,2605
723 R ST,3,3A        ,763,487(A) GRAND THEFT-COIN MACHIN,2307
621 S ST,3,3A        ,773,487(A) PC GRAND THEFT,2303
5265 I ST,3,3C        ,835,459 PC  BURGLARY RESIDENCE,2204
8201 POWER RIDGE RD,6,6C        ,1145,594(B)(2)(A) VANDALISM/ -$400,2999
1040 RIO LN,4,4A        ,1203,487(A) GRAND THEFT-INSIDE,2308
1423 19TH ST,3,3B        ,766,594(B)(2)(A)VANDALISM GRAF-400,2999
8310 JACKSON RD,6,6C        ,1124,487(A) GRAND THEFT-AUTO PARTS,2304
100 BICENTENNIAL CIR,3,3C        ,1102,530.5 PC USE PERSONAL ID INFO,2604
I 5 NB / S LAND PARK DR,4,4C        ,1288,5150 WI DANGER SELF/OTHERS,7000
7400 FLORES WAY,5,5A        ,1396,594(B)(2)(A) VANDALISM/ -$400,2999
4820 47TH ST,6,6B        ,1084,10851(A)VC TAKE VEH W/O OWNER,2404
SAMOS WAY / MACK RD,5,5B        ,1614,211 PC  ROBBERY UNSPECIFIED,1299
7500 HOSPITAL DR,5,5C        ,1639,LOST PROPERTY - I RPT,7000
5727 GILGUNN WAY,4,4C        ,985,VANDALISM - I RPT,7000
955 43RD AVE,4,4C        ,1251,RECOVERED PROPERTY - I RPT,7000
1224 ISABEL ST,3,3A        ,709,5150 WI DANGER SELF/OTHERS,7000
PELL CIR / PELL DR,2,2A        ,221,TOWED/STORED VEHICLE,7000
CENTER PKWY / VALLEY HI DR,5,5B        ,1623,11364 HS POSS DRUG PARAPH,3599
STOCKTON BLVD / 11TH AVE,6,6A        ,1054,23153(A) VC DUI CAUSE INJURY,5404
21ST AVE / 71ST ST,6,6C        ,1131,TOWED/STORED VEH-14602.6,7000
2150 BELL AVE,2,2A        ,237,459 PC  BURGLARY BUSINESS,2203
3519 3RD AVE,6,6A        ,1013,11364 HS POSS DRUG PARAPH,3599
BAKER AVE / STOCKTON BLVD,6,          ,1064,11364 HS POSS DRUG PARAPH,3599
4465 MONTRIL WAY,5,5B        ,1618,5150 WI DANGER SELF/OTHERS,7000
SONOMA AVE / HIGH ST,2,2B        ,545,11357(B)HS POSS -28.5GR MARIJ,3562
7040 20TH ST,4,4B        ,1351,10851 VC AUTO THEFT LOCATE,2404
7695 MILLROY WAY,5,5C        ,1605,10851(A)VC TAKE VEH W/O OWNER,2404
2328 CONNIE DR,2,2C        ,606,594(B)(2)(A) VANDALISM/ -$400,2999
3501 MEADOWVIEW RD,5,5B        ,1399,ROBBERY - I RPT,7000
8140 INDUSTRIAL PKWY,6,6C        ,1406,451(D) PC  ARSON OF PROPERTY,2099
633 SAN MIGUEL WAY,3,3C        ,823,459 PC  BURGLARY RESIDENCE,2204
14TH AVE / STOCKTON BLVD,6,          ,1054,TOWED/STORED VEH-14602.6,7000
1131 11TH ST,3,3M        ,744,594(B)(1)PC  VANDALISM +$400,2999
71 DANVILLE WAY,2,2B        ,531,10851 VC AUTO THEFT LOCATE,2404
SANTIAGO AVE / COLFAX ST,2,2B        ,551,10851 VC AUTO THEFT LOCATE,2404
40TH AVE / 24TH ST,4,4B        ,1306,IMPOUNDED VEHICLE,7000
5303 FRANKLIN BLVD,4,4B        ,969,FOUND PROPERTY - I RPT,7000
7000 FRANKLIN BLVD,5,5B        ,1359,484 PETTY THEFT/LICENSE PLATE,2399
819 SAN JUAN RD,1,1C        ,405,459 PC  BURGLARY RESIDENCE,2204
6 EAGLE ROCK CT,6,6C        ,1422,10851 VC AUTO THEFT LOCATE,2404
740 NORTHEY DR,1,1C        ,447,10851(A)VC TAKE VEH W/O OWNER,2404
7993 CRESENTDALE WAY,5,5B        ,1621,459 PC  BURGLARY RESIDENCE,2204
460 LINDLEY DR,2,2B        ,542,10851(A)VC TAKE VEH W/O OWNER,2404
1402 BROADWAY,4,4A        ,905,594(B)(2)(A) VANDALISM/ -$400,2999
420 DOS RIOS ST,3,3A        ,709,TOWED/STORED VEHICLE,7000
200 BICENTENNIAL CIR,3,3C        ,1102,459 PC  BURGLARY RESIDENCE,2204
FRANKLIN BLVD / 20TH AVE,4,4B        ,958,TOWED/STORED VEH-14602.6,7000
WATT AVE / FOLSOM BLVD,3,3C        ,1106,10851(A)VC TAKE VEH W/O OWNER,2404
MARYSVILLE BLVD / GRAND AVE,2,2A        ,506,TOWED/STORED VEH-14602.6,7000
1315 ALHAMBRA BLVD,3,3C        ,851,THREATS - I RPT,7000
360 MOREY AVE,2,2B        ,521,5150 WI DANGER SELF/OTHERS,7000
MARCONI AVE / MARCONI CIR,2,2C        ,557,20001(A) VC HIT/RUN INJ/DEATH,5401
605 REDWOOD AVE,2,2C        ,602,10851(A)VC TAKE VEH W/O OWNER,2404
SOUTH AVE / FIG ST,2,2B        ,515,TOWED/STORED VEH-14602.6,7000
4625 SUNSET DR,4,4A        ,1205,ELDER ABUSE/PHYS/MENTAL-I RPT,7000
OCCIDENTAL DR / BENNINGTON WAY,3,3C        ,1106,10851(A)VC TAKE VEH W/O OWNER,2404
MARYSVILLE BLVD / LOS ROBLES BLVD,2,2B        ,526,TOWED/STORED VEH-14602.6,7000
POWER INN RD / FRUITRIDGE RD,6,6C        ,1145,NON INJ HR/MAIL OUT REPORT,7000
FREEPORT BLVD / 15TH AVE,4,4A        ,957,TRAFFIC-ACCIDENT INJURY,5400
470 HARDING AVE,1,1C        ,449,459 PC  BURGLARY RESIDENCE,2204
6021 WILKINSON ST,6,6C        ,1404,10851 VC AUTO THEFT LOCATE,2404
3611 35TH ST,6,6A        ,1041,484 PC   PETTY THEFT/INSIDE,2308
5628 CAZADERO WAY,4,4B        ,986,459 PC  BURGLARY RESIDENCE,2204
2318 Q ST,3,3B        ,767,484 PC   PETTY THEFT/INSIDE,2308
LEMON HILL AVE / NAMPA WAY,6,6C        ,1403,TRAFFIC-ACCIDENT-NON INJURY,5400
SOUTH AVE / MARYSVILLE BLVD,2,2B        ,516,TOWED/STORED VEH-14602.6,7000
6205 RIVERSIDE BLVD,4,4C        ,1265,211 PC  ROBBERY UNSPECIFIED,1299
7840 14TH AVE,6,6C        ,1133,242 PC  BATTERY CIVILIAN,1313
JACINTO AVE / SEAFORD DR,5,5C        ,1654,TRAFFIC-ACCIDENT INJURY,5400
1160 RIO NORTE WAY,1,1B        ,404,594(B)(2)(A) VANDALISM/ -$400,2999
567 GARDEN ST,2,2C        ,613,10851(A)VC TAKE VEH W/O OWNER,2404
7715 COLLEGE TOWN DR,3,3C        ,888,594(B)(2)(A) VANDALISM/ -$400,2999
GRAND AVE / BALSAM ST,2,2A        ,505,TOWED/STORED VEH-14602.6,7000
5303 FRANKLIN BLVD,4,4B        ,969,FOUND PROPERTY - I RPT,7000
WILLOW ST / SOUTH AVE,2,2B        ,516,TOWED/STORED VEHICLE,7000
ARCADE BLVD / MARYSVILLE BLVD,2,2B        ,537,TOWED/STORED VEH-14602.6,7000
CORAL GABLES CT / MEADOWVIEW RD,5,5A        ,1396,TRAFFIC-ACCIDENT-NON INJURY,5400
2685 RIO LINDA BLVD,2,2B        ,563,TOWED/STORED VEHICLE,7000
8TH ST / Q ST,3,3A        ,763,TRAFFIC-ACCIDENT-NON INJURY,5400
DEL PASO BLVD / EL CAMINO AVE,2,2C        ,563,TOWED/STORED VEHICLE,7000
PALMER ST / ARCADE BLVD,2,2B        ,537,TOWED/STORED VEH-14602.6,7000
3617 33RD ST,6,6A        ,1041,10851 VC AUTO THEFT LOCATE,2404
GIBSON ST / EL MONTE AVE,2,2C        ,602,10851 VC AUTO THEFT LOCATE,2404
ARCADE BLVD / PALMER ST,2,2B        ,537,TOWED/STORED VEHICLE,7000
637 PLAZA AVE,2,2B        ,563,290(A)(1)(D) FAIL TO REG-5 DAY,3699
3341 POWER INN RD,6,6C        ,1124,594(B)(1)PC  VANDALISM +$400,2999
2605 ENCINAL AVE,4,4B        ,1306,10851 VC AUTO THEFT LOCATE,2404
5630 BROADWAY,6,6B        ,1036,TOWED/STORED VEH-14602.6,7000
6879 14TH AVE,6,6C        ,1121,415(1) PC DISTURB PEACE/FIGHT,5311
4324 U ST,6,6B        ,1004,594(B)(1)PC  VANDALISM +$400,2999
MARYSVILLE BLVD / ARCADE BLVD,2,2B        ,537,TOWED/STORED VEHICLE,7000
POWER INN RD / CAPISTRANO WAY,6,6C        ,1406,TOWED/STORED VEH-14602.6,7000
ARCADE BLVD / MARYSVILLE BLVD,2,2B        ,537,TOWED/STORED VEHICLE,7000
65TH STREET EXPY / ELDER CREEK RD,6,6C        ,1422,TOWED/STORED VEHICLE,7000
DEL PASO BLVD / OFARRELL DR,2,2B        ,537,10851(A)VC TAKE VEH W/O OWNER,2404
FERNLEY AVE / TRACTION AVE,2,2C        ,602,TOWED/STORED VEHICLE,7000
14TH AVE / 32ND ST,6,6A        ,1051,11350(A)HS POSS CNTRL SUBST,3532
3500 FLORIN RD,5,5B        ,1367,GANG ACTIVITY - I RPT,7000
451 MCCLATCHY WAY,4,4A        ,902,THREATS - I RPT,7000
5001 CARMEN WAY,4,4B        ,967,BATTERY - I RPT,7000
6879 14TH AVE,6,6C        ,1121,415(1) PC DISTURB PEACE/FIGHT,5311
810 V ST,3,3A        ,784,243.6 BATTERY SCHOOL EMPLOYEE,1313
8TH ST / K ST,3,3M        ,742,11357(B)HS POSS -28.5GR MARIJ,3562
7825 CUCAMONGA AVE,6,6C        ,1113,IMPOUNDED VEHICLE,7000
2707 BROADWAY,4,4A        ,908,211 PC ROBBERY- BUSINESS,1299
5770 FREEPORT BLVD,4,4C        ,985,1551(A) FUGITIVE FROM JUSTICE,4902
3530 MOBILE WAY,1,1C        ,419,166(A)(4) WILFUL DISOBEY CT OR,5005
801 SAN JUAN RD,1,1C        ,405,484 PETTY THEFT/LICENSE PLATE,2399
739 ARDEN WAY,2,2C        ,603,POSSIBLE FINANCIAL CRIME-I RPT,7000
3845 12TH AVE,6,6A        ,1041,484 PETTY THEFT CLOUT UNLOCKED,2305
110 BARTON WAY,2,2B        ,531,FRAUD-SWINDLE,2602
1018 COMMONS DR,3,3C        ,876,LOST PROPERTY - I RPT,7000
EL CAMINO AVE / LEXINGTON ST,2,2B        ,564,TRAFFIC-ACCIDENT INJURY,5400
2315 STOCKTON BLVD,6,6B        ,1005,23153(A) VC DUI CAUSE INJURY,5404
6945 BRIDLE TRAIL WAY,6,6C        ,1445,10851 VC AUTO THEFT LOCATE,2404
2829 FLORIN RD,4,4B        ,1356,245(A)(1)AWDW/NO FIREARM/CIVIL,1315
3550 MARYSVILLE BLVD,2,2B        ,526,NARCOTICS SUSP/EVID/ACT- I RPT,7000
STOCKTON BLVD / FRUITRIDGE RD,6,6B        ,1086,TOWED/STORED VEHICLE,7000
301 BICENTENNIAL CIR,3,3C        ,1102,TOWED/STORED VEH-14602.6,7000
3066 FREEPORT BLVD,4,4A        ,925,211 PC  ROBBERY UNSPECIFIED,1299
715 L ST,3,3M        ,742,11532(A)HS LOITER DRG ACTIVITY,3599
470 LINDLEY DR,2,2B        ,542,5150 WI DANGER SELF/OTHERS,7000
2223 Q ST,3,3B        ,767,603  FORCED ENTRY/PROP DAMAGE,2999
8231 ALPINE AVE,6,6C        ,1134,THREATS - I RPT,7000
5303 FREEPORT BLVD,4,4B        ,976,TRAFFIC - I RPT,7000
ELDER CREEK RD / POWER INN RD,6,6C        ,1406,TRAFFIC-ACCIDENT INJURY,5400
7834 CENTER PKWY,5,5B        ,1621,148(A)(1)PC RESIST PEACE OFFCR,4801
MACK RD / TANGERINE AVE,5,5B        ,1604,TRAFFIC-ACCIDENT-NON INJURY,5400
4940 STOCKTON BLVD,6,6B        ,1084,594(B)(1)PC  VANDALISM +$400,2999
5330 STOCKTON BLVD,6,6B        ,1084,215(A) PC    CARJACKING,1212
STOCKTON BLVD / 14TH AVE,6,          ,1054,TOWED/STORED VEH-14602.6,7000
3691 TRUXEL RD,1,1A        ,337,HIT AND RUN /SUSPECTS- I RPT,7000
2250 68TH AVE,5,5A        ,1384,CHILD WELFARE - I RPT,7000
2250 68TH AVE,5,5A        ,1384,GANG ACTIVITY - I RPT,7000
SAN JUAN RD / TRUXEL RD,1,1B        ,404,23222(B)POSSESS MARIJ IN VEH,5499
15TH ST / E ST,3,3A        ,715,TOWED/STORED VEHICLE,7000
DEL PASO BLVD / MARYSVILLE BLVD,2,2B        ,546,TOWED/STORED VEHICLE,7000
BRUCEVILLE RD / TIMBERLAKE WAY,5,5C        ,1639,20002(A) HIT/RUN,5401
